Date,AAPL,ALGT,BBY,C,DAL,JNJ,JPM,META,TGT,UNH
2020-01-03,-0.009722035519879406,-0.014314139328472883,-0.0014889160125188135,-0.018835483755532907,-0.016598907978312566,-0.011577738078189142,-0.019491105474367852,-0.005291260448139101,-0.010391033249502989,-0.01011962890625
2020-01-06,0.007968245219206775,-0.014579604662561195,0.008373518632463852,-0.003136762980836147,-0.006889450851148558,-0.0012475234079852074,-0.0007951468357920861,0.01883360314877879,-0.009458161950713109,0.006941974126988494
2020-01-07,-0.0047030460371630415,0.0005848310147112573,0.005687634844400627,-0.008684642397925034,-0.0008671390425400935,0.006106797964958367,-0.017000585382050924,0.0021636474217886603,0.001780233188569515,-0.006036629469168923
2020-01-08,0.016086288271489533,0.015429569231290593,0.002714600767202424,0.007618060663371768,0.021524003656176394,-0.00013787428790824603,0.007800982635435785,0.010138006603118218,-0.0032310300163052113,0.021084182240242277
2020-01-09,0.02124081397654538,0.008057982342699183,0.008121841041287976,0.009072595957228476,0.0018691692982784793,0.002966284877662854,0.003651234052036325,0.014310946071857964,0.0008103603961473413,-0.0056775691464494155
2020-01-10,0.0022607036734635945,-0.002683574410991486,0.014322465480128103,-0.010364657992962436,0.004749026430495322,-0.0022697698083777775,-0.009967950326336465,-0.0010994296372371485,0.009959541351689019,0.0030929360965733744
2020-01-13,0.021364370733372846,0.00017174546064779487,0.006729184777536033,0.017665634395948343,0.004220121419930221,0.004411963328414672,0.008304472427424596,0.017655719281942622,-0.006894897676628308,-0.03144376588541613
2020-01-14,-0.01350327768387597,-0.003434406727003664,-0.008656595409104326,0.015623088808326436,0.03294669741423296,0.005628053132424194,0.011661852325836546,-0.012843071770009875,0.01122143665801115,0.008360972817309941
2020-01-15,-0.004285519922216676,0.011085540540611604,-0.017132784689330924,-0.008179779860634786,0.0027664469785952965,0.003344186596281009,-0.014985603640650248,0.009540748476141094,-0.06594285482485497,0.02834448273846782
2020-01-16,0.01252647890524093,0.00891897594220401,0.00033736819517110454,-0.0029541835312696715,0.004219444023650133,0.008094704345770962,0.003876527022855371,0.0028035740135121875,-0.005811968420305823,0.014608098642991701
2020-01-17,0.011070996257036933,0.001069747613107918,0.011129910366833654,0.0014815153899016204,0.0024240095118377367,0.006545217548431469,0.006921653539105191,0.001668373134596388,0.005158171214711509,-0.007548011862016786
2020-01-21,-0.00677690706132479,-0.043478238480489234,0.0033355060509223473,-0.01503946227066085,-0.02724485990596276,0.0006704170057196166,-0.009840815053425085,-0.0031511522020595036,-0.024632204058509077,0.00690185797624093
