Date,AAL,AAPL,BA,BBY,C,JNJ,JPM,MSFT,PFE,TGT
2020-12-04,0.01926659185845458,-0.00561251364652533,-0.018929132766197846,-0.009104573046439267,0.0360550907531148,0.008523518607120386,0.009072900804213963,0.0005600966864768344,0.006235969045858485,0.0006288624028301164
2020-12-07,0.04939021248678376,0.012269938650306749,0.023462641474595276,-0.026901547277638778,-0.008358885579969026,-0.008651114758742681,-0.0037600057073909465,-0.0003265876283794399,0.022558250966038508,-0.0121121815230125
2020-12-08,0.024404421768556697,0.005090886896306818,-0.00671785219392584,0.002530852704565687,0.003956640942889724,0.01731893542265831,0.0009845975491164193,0.008026512084521261,0.03175760904947917,-0.0010988516417913081
2020-12-09,-0.026659066121819106,-0.02090367045774835,-0.01906416547319982,0.01718617641688097,0.010109666662396159,0.010227667572058384,-0.00778686023149334,-0.019489799371042036,-0.01668239840836781,0.007816153855803738
2020-12-10,0.04836829435235843,0.011988824922872822,0.010212855046631166,-0.016513968324321796,0.026293455759121835,-0.00555196649006604,-0.006443671119594239,-0.006043431354361597,-0.0028673580946238196,-0.009593918294171418
2020-12-11,-0.052251281045969225,-0.006734779422648468,-0.01748919068728926,-0.023585366727812404,-0.025950408178912705,0.0045976811050389985,-0.005903376605054456,0.01301534380945968,-0.014617795759478993,-0.004002245980539202
2020-12-14,-0.020527770661732544,-0.005146678081568515,-0.007424159685117636,0.006759446476042525,-0.00322414094222051,-0.0253676999113404,-0.01053859595654844,0.004407776730839776,-0.04644941383816722,-0.00419312324588581
2020-12-15,0.018562841423955614,0.05009031479115206,0.003849203488791177,0.016883877419854445,0.01583242192550768,0.010062386303755829,0.017075203642916485,-0.00032676034746443016,-0.0127518493158548,0.002456273205758236
2020-12-16,-0.008818319606814829,-0.0005473858017489737,-0.015817014739923748,0.004951957926099545,0.0013407379505555892,-0.0059773468253572545,0.0029088969000068037,0.024050781203235977,-0.022474785648696628,0.0016335031405099343
2020-12-17,-0.0035588001849879225,0.0069634567455524946,-0.020498471351280072,-0.01120776485129831,0.00502090773323091,0.026391374333976328,-0.008287064019011083,0.0006384503394189886,0.0050211053367554045,-0.0026209851583860327
